PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent
2022/12/21,15:00,USD,Existing Home Sales ,4090000.0,4200000.0,4430000.0,USD-Existing Home Sales 
2022/12/21,15:30,USD,Crude Oil Inventories,-5894000.0,-1657000.0,10231000.0,USD-Crude Oil Inventories
2022/12/22,13:30,USD,GDP (QoQ) ,0.032,0.029,-0.006,USD-GDP (QoQ) 
2022/12/22,13:30,USD,Initial Jobless Claims,216000.0,222000.0,214000.0,USD-Initial Jobless Claims
2022/12/23,13:30,USD,Core PCE Price Index (YoY) ,0.047,0.047,0.05,USD-Core PCE Price Index (YoY) 
2022/12/23,13:30,USD,Core PCE Price Index (MoM) ,0.002,0.002,0.003,USD-Core PCE Price Index (MoM) 
2022/12/23,13:30,USD,Durable Goods Orders (MoM) ,-0.021,-0.006,0.007,USD-Durable Goods Orders (MoM) 
2022/12/23,15:00,USD,New Home Sales ,640000.0,600000.0,605000.0,USD-New Home Sales 
2022/12/29,13:30,USD,Initial Jobless Claims,225000.0,225000.0,216000.0,USD-Initial Jobless Claims
2022/12/29,16:00,USD,Crude Oil Inventories,718000.0,-1520000.0,-5894000.0,USD-Crude Oil Inventories
2022/12/30,14:45,USD,Chicago PMI ,44.9,40.0,37.2,USD-Chicago PMI 
2023/01/03,13:00,EUR,German CPI (MoM)   ,-0.008,-0.003,-0.005,EUR-German CPI (MoM)   
2023/01/03,14:45,USD,S&P Global US Manufacturing PMI ,46.2,46.2,47.7,USD-S&P Global US Manufacturing PMI 
2023/01/04,15:00,USD,ISM Manufacturing PMI ,48.4,48.5,49.0,USD-ISM Manufacturing PMI 
2023/01/04,15:00,USD,ISM Manufacturing Prices ,39.4,42.6,43.0,USD-ISM Manufacturing Prices 
2023/01/04,15:00,USD,JOLTs Job Openings ,10458000.0,10000000.0,10512000.0,USD-JOLTs Job Openings 
2023/01/04,19:00,USD,FOMC Meeting Minutes  ,,,,USD-FOMC Meeting Minutes  
2023/01/05,13:15,USD,ADP Nonfarm Employment Change ,235000.0,150000.0,182000.0,USD-ADP Nonfarm Employment Change 
2023/01/05,13:30,USD,Initial Jobless Claims,204000.0,225000.0,223000.0,USD-Initial Jobless Claims
2023/01/05,14:45,USD,S&P Global Services PMI ,44.7,44.4,46.2,USD-S&P Global Services PMI 
